time,total_burned_cells,avg_burned,avg_fuel
0,1,0.001,0.79943
1,1,0.00119109,0.799239
2,1,0.00141296,0.799017
3,1,0.00167109,0.798759
4,1,0.00197198,0.798458
5,1,0.00232328,0.798107
6,1,0.00273405,0.797696
7,1,0.00321499,0.797215
8,1,0.00377876,0.796652
9,1,0.00444035,0.79599
10,1,0.00521749,0.795213
11,1,0.0061312,0.794299
12,4,0.00720638,0.793224
13,6,0.00847253,0.791958
14,8,0.00996463,0.790466
15,9,0.0117242,0.788748
16,9,0.0138004,0.786919
17,10,0.0161534,0.785052
18,13,0.0184296,0.782972
19,17,0.0208861,0.780584
20,18,0.0236692,0.777987
21,21,0.0267794,0.77532
22,23,0.030232,0.772361
23,27,0.0338202,0.769235
24,31,0.0375962,0.765901
25,36,0.0418472,0.762386
26,41,0.0465296,0.75856
27,44,0.0516451,0.754416
28,48,0.0568509,0.749954
29,52,0.0624431,0.745507
30,62,0.0680887,0.74077
31,67,0.0739612,0.73554
32,69,0.0803421,0.729977
33,74,0.087149,0.724655
34,85,0.0940377,0.719074
35,93,0.101002,0.712987
36,100,0.108535,0.706537
37,105,0.116579,0.699998
38,114,0.124829,0.693666
39,122,0.13317,0.686681
40,133,0.141786,0.67956
41,142,0.150751,0.67228
42,145,0.159978,0.664975
43,153,0.169173,0.657404
44,166,0.178552,0.64943
45,179,0.188234,0.641271
46,190,0.198333,0.632733
47,194,0.209216,0.623859
48,203,0.220269,0.615074
49,216,0.231597,0.605882
50,232,0.24245,0.596397
51,238,0.253956,0.58646
52,251,0.266486,0.576153
53,262,0.279498,0.565848
54,277,0.292407,0.555104
55,290,0.305694,0.544428
56,306,0.319538,0.533369
57,317,0.333481,0.522129
58,333,0.34751,0.51067
59,343,0.362202,0.499321
60,362,0.376565,0.487205
61,373,0.391356,0.475072
62,387,0.406568,0.462506
63,405,0.422214,0.449525
64,417,0.438129,0.436569
65,438,0.454236,0.422943
66,458,0.470592,0.409732
67,474,0.487178,0.39706
68,492,0.503481,0.383934
69,509,0.519349,0.37187
70,524,0.534564,0.3602
71,535,0.549268,0.348796
72,552,0.563869,0.337323
73,566,0.577303,0.326414
74,582,0.590682,0.315996
75,591,0.604138,0.30577
76,603,0.617187,0.295514
77,618,0.629864,0.285177
78,632,0.642727,0.275022
79,642,0.655396,0.26528
80,654,0.66784,0.255692
81,670,0.680183,0.245903
82,682,0.692361,0.235646
83,693,0.704713,0.225762
84,706,0.717205,0.216128
85,716,0.72969,0.206391
86,730,0.741926,0.196868
87,743,0.753592,0.187048
88,756,0.76548,0.177417
89,767,0.777487,0.168276
90,776,0.789777,0.158755
91,793,0.802014,0.148436
92,803,0.813985,0.138518
93,819,0.825863,0.128881
94,826,0.837696,0.119284
95,831,0.849333,0.109973
96,848,0.861011,0.100537
97,859,0.872715,0.090755
98,878,0.884179,0.0808246
99,890,0.896525,0.0709892
100,902,0.908795,0.0617386
101,917,0.920906,0.0530634
102,926,0.931683,0.0447977
103,937,0.942048,0.037297
104,950,0.95195,0.0304727
105,962,0.960566,0.0243975
106,970,0.968606,0.0193075
107,972,0.975286,0.0148867
108,980,0.980872,0.0112884
109,989,0.985504,0.00810401
110,991,0.989385,0.00547019
111,995,0.992902,0.00332636
112,999,0.99599,0.00165353
113,1000,0.998131,0.000461439
114,1000,0.999448,0
115,1000,0.999942,0
116,1000,1,0
117,1000,1,0
118,1000,1,0
119,1000,1,0
